DATAFLOW,LAST UPDATE,freq,duration,isced11,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EDAT_LFSE_24(1.0),14/09/23 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,AT,2013,87.8,
ESTAT:EDAT_LFSE_24(1.0),14/09/23 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,AT,2014,86.8,b
ESTAT:EDAT_LFSE_24(1.0),14/09/23 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,AT,2015,86.4,
ESTAT:EDAT_LFSE_24(1.0),14/09/23 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,AT,2016,88.2,
ESTAT:EDAT_LFSE_24(1.0),14/09/23 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,AT,2017,90.0,
ESTAT:EDAT_LFSE_24(1.0),14/09/23 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,AT,2018,85.9,
ESTAT:EDAT_LFSE_24(1.0),14/09/23 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,AT,2019,87.4,
ESTAT:EDAT_LFSE_24(1.0),14/09/23 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,AT,2020,88.8,
ESTAT:EDAT_LFSE_24(1.0),14/09/23 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,AT,2021,85.2,b
ESTAT:EDAT_LFSE_24(1.0),14/09/23 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,AT,2022,86.6,
ESTAT:EDAT_LFSE_24(1.0),14/09/23 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,BE,2013,79.1,
ESTAT:EDAT_LFSE_24(1.0),14/09/23 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,BE,2014,80.2,b
ESTAT:EDAT_LFSE_24(1.0),14/09/23 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,BE,2015,80.9,
ESTAT:EDAT_LFSE_24(1.0),14/09/23 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,BE,2016,82.2,
ESTAT:EDAT_LFSE_24(1.0),14/09/23 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,BE,2017,82.5,b
ESTAT:EDAT_LFSE_24(1.0),14/09/23 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,BE,2018,84.2,
ESTAT:EDAT_LFSE_24(1.0),14/09/23 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,BE,2019,84.0,
ESTAT:EDAT_LFSE_24(1.0),14/09/23 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,BE,2020,81.6,
ESTAT:EDAT_LFSE_24(1.0),14/09/23 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,BE,2021,82.5,b
ESTAT:EDAT_LFSE_24(1.0),14/09/23 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,BE,2022,84.9,
ESTAT:EDAT_LFSE_24(1.0),14/09/23 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,BG,2013,69.1,
ESTAT:EDAT_LFSE_24(1.0),14/09/23 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,BG,2014,66.4,b
ESTAT:EDAT_LFSE_24(1.0),14/09/23 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,BG,2015,73.9,
ESTAT:EDAT_LFSE_24(1.0),14/09/23 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,BG,2016,68.9,
ESTAT:EDAT_LFSE_24(1.0),14/09/23 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,BG,2017,77.5,
ESTAT:EDAT_LFSE_24(1.0),14/09/23 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,BG,2018,74.6,
ESTAT:EDAT_LFSE_24(1.0),14/09/23 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,BG,2019,76.3,
ESTAT:EDAT_LFSE_24(1.0),14/09/23 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,BG,2020,76.4,
ESTAT:EDAT_LFSE_24(1.0),14/09/23 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,BG,2021,72.0,b
ESTAT:EDAT_LFSE_24(1.0),14/09/23 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,BG,2022,76.1,
ESTAT:EDAT_LFSE_24(1.0),14/09/23 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,CH,2013,86.4,
ESTAT:EDAT_LFSE_24(1.0),14/09/23 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,CH,2014,89.0,b
ESTAT:EDAT_LFSE_24(1.0),14/09/23 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,CH,2015,85.3,
ESTAT:EDAT_LFSE_24(1.0),14/09/23 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,CH,2016,84.6,
ESTAT:EDAT_LFSE_24(1.0),14/09/23 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,CH,2017,89.9,
ESTAT:EDAT_LFSE_24(1.0),14/09/23 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,CH,2018,88.6,
ESTAT:EDAT_LFSE_24(1.0),14/09/23 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,CH,2019,87.9,
ESTAT:EDAT_LFSE_24(1.0),14/09/23 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,CH,2020,90.6,
ESTAT:EDAT_LFSE_24(1.0),14/09/23 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,CH,2021,87.9,b
ESTAT:EDAT_LFSE_24(1.0),14/09/23 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,CH,2022,84.4,
ESTAT:EDAT_LFSE_24(1.0),14/09/23 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,CY,2013,61.7,
ESTAT:EDAT_LFSE_24(1.0),14/09/23 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,CY,2014,68.9,b
ESTAT:EDAT_LFSE_24(1.0),14/09/23 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,CY,2015,69.8,
